run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,zero_rows,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,dollar_blowup,elapsed_seconds
20260522T0540Z,w1326,2026 02 25 - gwregion.org_cip_2021-2030,gwregion.org_cip_2021-2030,ok,,,338,117,no,no,0.038,3366489029.0,1593699054.64071,0.5266,no,182.9
20260522T0543Z,w1326,2026 03 10 - fairfaxva.gov_cip_2026-2030,fairfaxva.gov_cip_2026-2030,ok,,,153,153,no,yes,1.0,457364840.0,527428502.0,0.1532,no,191.4
20260522T0546Z,w1326,2026 03 14 - northmiamifl.gov_cip_2026-2030,northmiamifl.gov_cip_2026-2030,ok,,,14,14,no,yes,0.0,41210524.0,44090524.0,0.0699,no,177.3
20260522T0549Z,w1326,2026 03 14 - scmtd.com_cip_2026-2027,scmtd.com_cip_2026-2027,ok,,,17,9,no,no,0.235,67859000.0,199000000.0,1.9326,no,142.7
20260522T0552Z,w1326,2026 03 17 - amtrak.com_cip_2026-2026,amtrak.com_cip_2026-2026,failed,timeout,Pipeline timed out after 900s,138,,,,,,,,,900.1
20260522T0607Z,w1326,2026 03 17 - capitolcorridor.org_tip_2027-2028_proposed,capitolcorridor.org_tip_2027-2028_proposed,failed,timeout,Pipeline timed out after 900s,24,,,,,,,,,900.0
20260522T0622Z,w1326,2026 03 18 - fishers.in.us_cip_2026-2030,fishers.in.us_cip_2026-2030,ok,,,60,8,no,no,0.0,93276149.0,16283510.0,0.8254,no,150.8
20260522T0624Z,w1326,2026 03 18 - nbcua.com_cip_2027-2031,nbcua.com_cip_2027-2031,ok,,,17,18,no,no,0.294,0.0,0.0,,,112.1
20260522T0626Z,w1326,2026 03 19 - hcpss.org_cip_2027-2027,hcpss.org_cip_2027-2027,ok,,,66,17,no,no,0.0,116636000.0,0.0,1.0,no,114.3
20260522T0628Z,w1326,2026 03 19 - pecsd.org_cip_2026-2026,pecsd.org_cip_2026-2026,ok,,,16,15,no,no,0.25,11066936.0,30916936.0,1.7936,no,98.2
20260522T0630Z,w1326,2026 03 20 - udc.edu_cip_2025-2030,udc.edu_cip_2025-2030,ok,,,12,13,no,no,0.583,95500000.0,66000000.0,0.3089,no,101.6
20260522T0632Z,w1326,2026 03 21 - cityofbowie.org_cip_2026-2031,cityofbowie.org_cip_2026-2031,ok,,,51,107,no,no,0.0,190525448.0,434804574000.0,2281.1338,no,258.2
20260522T0636Z,w1326,2026 03 21 - qacps.org_cip_2026-2026,qacps.org_cip_2026-2026,ok,,,20,20,no,yes,0.6,12996460.0,12996460.0,0.0,no,83.4
20260522T0637Z,w1326,2026 03 22 - calvertnet.k12.md.us_cip_2026-2031,calvertnet.k12.md.us_cip_2026-2031,failed,timeout,Pipeline timed out after 900s,26,,,,,,,,,900.0
20260522T0652Z,w1326,2026 03 22 - viennava.gov_cip_2026-2042,viennava.gov_cip_2026-2042,ok,,,44,34,no,no,0.659,49746000.0,108456000.0,1.1802,no,145.9
20260522T0655Z,w1326,2026 03 23 - westchicago.org_cip_2025-2029,westchicago.org_cip_2025-2029,ok,,,140,162,no,no,0.236,38478200.0,281178127.94,6.3075,no,160.7
20260522T0658Z,w1326,2026 03 24 - cityhpil.com_cip_2026-2035,cityhpil.com_cip_2026-2035,ok,,,95,73,no,no,0.0,39773000.0,168957600.0,3.248,no,393.5
20260522T0704Z,w1326,2026 03 24 - spotsylvania.k12.va.us_cip_2027-2031,spotsylvania.k12.va.us_cip_2027-2031,ok,,,218,112,no,no,0.0,358323581.0,32513405.0,0.9093,no,124.0
20260522T0706Z,w1326,2026 03 25 - cascadecountymt.gov_cip_2025-2025,cascadecountymt.gov_cip_2025-2025,ok,,,44,44,no,yes,0.955,17523889.0,17523889.0,0.0,no,63.1
20260522T0707Z,w1326,2026 03 25 - centralsan.org_cip_2026-2035,centralsan.org_cip_2026-2035,failed,timeout,Pipeline timed out after 900s,82,,,,,,,,,900.1
20260522T0722Z,w1326,2026 03 25 - cityofasbury.com_cip_2025-2030,cityofasbury.com_cip_2025-2030,ok,,,60,9,no,no,0.017,24973117.0,0.0,1.0,no,262.1
20260522T0727Z,w1326,2026 03 25 - herndon-va.gov_cip_2026-2031,herndon-va.gov_cip_2026-2031,ok,,,46,202,no,no,0.0,263724208.0,208233621.4,0.2104,no,398.6
20260522T0733Z,w1326,2026 03 25 - lrd.usace.army.mil.buf_cip_2026-2027,lrd.usace.army.mil.buf_cip_2026-2027,ok,,,19,18,no,no,0.316,3000000.0,134000000.0,43.6667,no,93.2
20260522T0735Z,w1326,2026 03 25 - lrd.usace.army.mil.chi_cip_2026-2028,lrd.usace.army.mil.chi_cip_2026-2028,ok,,,46,44,no,yes,0.935,0.0,157750000.0,,,123.5
20260522T0737Z,w1326,2026 03 25 - nwp.usace.army.mil_cip_2026-2027,nwp.usace.army.mil_cip_2026-2027,ok,,,31,30,no,yes,0.774,895750000.0,0.0,1.0,no,107.1
20260522T0739Z,w1326,2026 03 26 - clcwa.org_cip_2026-2026,clcwa.org_cip_2026-2026,ok,,,40,74,no,no,0.9,2887762.0,1722494.36,0.4035,no,134.2
20260522T0741Z,w1326,2026 03 26 - covingtonky.gov_cip_2025-2025,covingtonky.gov_cip_2025-2025,ok,,,46,39,no,no,0.043,0.0,146046163.0,,,125.8
